id,job_title,salary,salary_in_usd
252,Principal Data Engineer,600000.0,600000.0
97,Financial Data Analyst,450000.0,450000.0
33,Research Scientist,450000.0,450000.0
157,Applied Machine Learning Scientist,423000.0,423000.0
225,Principal Data Scientist,416000.0,416000.0
63,Data Scientist,412000.0,412000.0
523,Data Analytics Lead,405000.0,405000.0
519,Applied Data Scientist,380000.0,380000.0
25,Director of Data Science,325000.0,325000.0
482,Data Engineer,324000.0,324000.0
93,Lead Data Engineer,276000.0,276000.0
78,ML Engineer,270000.0,270000.0
534,Data Architect,266400.0,266400.0
416,Data Scientist,260000.0,260000.0
1,Machine Learning Scientist,260000.0,260000.0
231,ML Engineer,256000.0,256000.0
167,Director of Data Science,250000.0,250000.0
37,Machine Learning Engineer,250000.0,250000.0
337,Data Engineer,243900.0,243900.0
309,Data Engineer,242000.0,242000.0
421,Data Science Manager,241000.0,241000.0
141,Data Science Manager,240000.0,240000.0
173,Principal Data Scientist,235000.0,235000.0
74,Head of Data,235000.0,235000.0
592,Data Scientist,230000.0,230000.0
486,Data Scientist,230000.0,230000.0
160,Head of Data,230000.0,230000.0
224,Machine Learning Scientist,225000.0,225000.0
115,Machine Learning Scientist,225000.0,225000.0
342,Head of Data Science,224000.0,224000.0
582,Data Engineer,220110.0,220110.0
321,Data Engineer,220110.0,220110.0
477,Machine Learning Engineer,220000.0,220000.0
472,Data Scientist,220000.0,220000.0
138,Principal Data Scientist,220000.0,220000.0
483,Data Engineer,216000.0,216000.0
444,Data Scientist,215300.0,215300.0
398,Data Scientist,215300.0,215300.0
532,Machine Learning Engineer,214000.0,214000.0
535,Data Architect,213120.0,213120.0
357,Data Scientist,211500.0,211500.0
596,Data Scientist,210000.0,210000.0
576,Data Scientist,210000.0,210000.0
574,Data Scientist,210000.0,210000.0
570,Data Scientist,210000.0,210000.0
484,Data Engineer,210000.0,210000.0
446,Data Engineer,209100.0,209100.0
400,Data Engineer,209100.0,209100.0
378,Data Architect,208775.0,208775.0
542,Data Engineer,206699.0,206699.0
560,Analytics Engineer,205300.0,205300.0
558,Data Scientist,205300.0,205300.0
550,Data Scientist,205300.0,205300.0
554,Data Engineer,200100.0,200100.0
606,AI Scientist,200000.0,200000.0
490,Head of Data,200000.0,200000.0
478,Data Scientist,200000.0,200000.0
310,Data Engineer,200000.0,200000.0
256,Data Engineer,200000.0,200000.0
233,Data Analyst,200000.0,200000.0
232,Director of Data Engineering,200000.0,200000.0
206,Machine Learning Engineer,200000.0,200000.0
121,Principal Data Engineer,200000.0,200000.0
119,Data Engineer,200000.0,200000.0
452,Director of Data Science,250000.0,196979.0
201,Machine Learning Infrastructure Engineer,195000.0,195000.0
533,Machine Learning Engineer,192600.0,192600.0
590,Data Architect,192564.0,192564.0
358,Data Architect,192400.0,192400.0
67,Data Science Manager,190200.0,190200.0
6,Lead Data Scientist,190000.0,190000.0
438,Machine Learning Engineer,189650.0,189650.0
371,Machine Learning Engineer,189650.0,189650.0
47,Data Engineer,188000.0,188000.0
106,Research Scientist,235000.0,187442.0
476,Data Scientist,185100.0,185100.0
258,Machine Learning Engineer,185000.0,185000.0
215,Principal Data Engineer,185000.0,185000.0
561,Analytics Engineer,184700.0,184700.0
407,Data Engineer,183600.0,183600.0
474,Data Scientist,140000.0,183228.0
319,Data Engineer,181940.0,181940.0
448,Data Engineer,180000.0,180000.0
423,Data Scientist,180000.0,180000.0
409,Data Scientist,180000.0,180000.0
323,Data Scientist,180000.0,180000.0
234,Data Architect,180000.0,180000.0
525,Applied Data Scientist,177000.0,177000.0
552,Data Scientist,176000.0,176000.0
562,Data Engineer,175100.0,175100.0
404,Data Engineer,175000.0,175000.0
344,Analytics Engineer,175000.0,175000.0
193,Data Science Manager,174000.0,174000.0
175,Data Engineering Manager,174000.0,174000.0
257,Principal Data Scientist,147000.0,173762.0
597,Data Analyst,170000.0,170000.0
566,Data Analyst,170000.0,170000.0
369,Data Scientist,170000.0,170000.0
328,Data Analyst,170000.0,170000.0
294,Data Engineer,170000.0,170000.0
249,Principal Data Analyst,170000.0,170000.0
170,Data Architect,170000.0,170000.0
88,Lead Data Analyst,170000.0,170000.0
150,Director of Data Science,168000.0,168000.0
343,Head of Data Science,167875.0,167875.0
352,Data Scientist,167000.0,167000.0
336,Data Analyst,167000.0,167000.0
377,Data Engineer,165400.0,165400.0
334,Data Engineer,165400.0,165400.0
315,Data Scientist,165220.0,165220.0
497,Data Scientist,165000.0,165000.0
243,Data Scientist,165000.0,165000.0
207,Data Engineer,165000.0,165000.0
165,Data Specialist,165000.0,165000.0
439,Machine Learning Engineer,164996.0,164996.0
372,Machine Learning Engineer,164996.0,164996.0
387,Data Analyst,164000.0,164000.0
464,Principal Data Scientist,148000.0,162674.0
350,Data Science Manager,161342.0,161342.0
583,Data Engineer,160080.0,160080.0
322,Data Engineer,160080.0,160080.0
598,Data Scientist,160000.0,160000.0
555,Data Engineer,160000.0,160000.0
549,Data Engineer,160000.0,160000.0
419,Machine Learning Scientist,160000.0,160000.0
364,Data Engineer,160000.0,160000.0
265,Lead Data Engineer,160000.0,160000.0
204,Data Scientist,160000.0,160000.0
149,Cloud Data Engineer,160000.0,160000.0
422,Data Science Manager,159000.0,159000.0
399,Data Scientist,158200.0,158200.0
509,Applied Data Scientist,157000.0,157000.0
345,Data Engineer,156600.0,156600.0
537,Data Engineer,155000.0,155000.0
388,Data Engineer,155000.0,155000.0
290,Data Analyst,155000.0,155000.0
447,Data Engineer,154600.0,154600.0
401,Data Engineer,154600.0,154600.0
602,Data Engineer,154000.0,154000.0
84,Director of Data Science,130000.0,153667.0
495,Machine Learning Scientist,153000.0,153000.0
148,Data Engineering Manager,153000.0,153000.0
516,Data Science Manager,152500.0,152500.0
190,Data Science Manager,152000.0,152000.0
125,Principal Data Scientist,151000.0,151000.0
594,Data Analytics Manager,150260.0,150260.0
577,Data Analyst,150075.0,150075.0
605,Data Analyst,150000.0,150000.0
593,Data Scientist,150000.0,150000.0
510,Computer Vision Software Engineer,150000.0,150000.0
356,Data Scientist,150000.0,150000.0
295,Data Engineer,150000.0,150000.0
169,Data Architect,150000.0,150000.0
151,Data Scientist,150000.0,150000.0
142,Data Engineering Manager,150000.0,150000.0
108,Data Engineer,150000.0,150000.0
101,Data Engineer,150000.0,150000.0
73,BI Data Analyst,150000.0,150000.0
4,Machine Learning Engineer,150000.0,150000.0
55,Principal Data Scientist,130000.0,148261.0
379,Data Architect,147800.0,147800.0
195,Data Scientist,147000.0,147000.0
302,Data Scientist,146000.0,146000.0
556,Data Engineer,145000.0,145000.0
394,Data Analytics Manager,145000.0,145000.0
591,Data Architect,144854.0,144854.0
553,Data Scientist,144000.0,144000.0
466,Research Scientist,144000.0,144000.0
154,Data Science Manager,144000.0,144000.0
259,Director of Data Science,120000.0,141846.0
538,Data Scientist,141300.0,141300.0
559,Data Scientist,140400.0,140400.0
551,Data Scientist,140400.0,140400.0
428,Data Scientist,140400.0,140400.0
563,Data Engineer,140250.0,140250.0
587,Data Scientist,140000.0,140000.0
575,Data Scientist,140000.0,140000.0
571,Data Scientist,140000.0,140000.0
569,Data Scientist,140000.0,140000.0
473,Data Scientist,140000.0,140000.0
469,Data Scientist,140000.0,140000.0
219,Data Analytics Manager,140000.0,140000.0
81,Data Engineer,140000.0,140000.0
365,Data Scientist,138600.0,138600.0
59,Data Scientist,138350.0,138350.0
39,Machine Learning Engineer,138000.0,138000.0
351,Data Science Manager,137141.0,137141.0
380,Data Engineer,136994.0,136994.0
298,Data Scientist,136620.0,136620.0
338,Data Analyst,136600.0,136600.0
366,Data Engineer,136000.0,136000.0
527,Data Analyst,135000.0,135000.0
524,Data Scientist,135000.0,135000.0
470,Data Analyst,135000.0,135000.0
368,Analytics Engineer,135000.0,135000.0
349,Data Analyst,135000.0,135000.0
